BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;Wahlbeteiligung_in_Prozent;Wahlberechtigte_Personen
4551;Aadorf;2004;Frauenfeld;2008;29.1;5240
4711;Affeltrangen;2006;Münchwilen;2008;34;1542
4641;Altnau;2005;Kreuzlingen;2008;33.4;1209
4881;Amlikon-Bissegg;2008;Weinfelden;2008;39.2;891
4461;Amriswil;2002;Bischofszell;2008;28.9;6886
4401;Arbon;2001;Arbon;2008;27.8;7873
4536;Basadingen-Schlattingen;2003;Diessenhofen;2008;41.6;1146
4891;Berg;2008;Weinfelden;2008;38;2087
4801;Berlingen;2007;Steckborn;2008;47.5;552
4716;Bettwiesen;2006;Münchwilen;2008;27.3;673
4721;Bichelsee-Balterswil;2006;Münchwilen;2008;38.2;1767
4901;Birwinken;2008;Weinfelden;2008;36.3;843
4471;Bischofszell;2002;Bischofszell;2008;33.1;3425
4643;Bottighofen;2005;Kreuzlingen;2008;36.5;1291
4723;Braunau;2006;Münchwilen;2008;37.3;459
4911;Bürglen;2008;Weinfelden;2008;32.3;1932
4921;Bussnang;2008;Weinfelden;2008;39.8;1436
4545;Diessenhofen;2003;Diessenhofen;2008;38.1;1897
4406;Dozwil;2001;Arbon;2008;45;362
4411;Egnach;2001;Arbon;2008;36.5;2931
4476;Erlen;2002;Bischofszell;2008;34.1;1952
4646;Ermatingen;2005;Kreuzlingen;2008;37.6;1735
4806;Eschenz;2007;Steckborn;2008;37.8;1125
4724;Eschlikon;2006;Münchwilen;2008;36.9;2580
4561;Felben-Wellhausen;2004;Frauenfeld;2008;28.3;1528
4726;Fischingen;2006;Münchwilen;2008;38.4;1864
4566;Frauenfeld;2004;Frauenfeld;2008;34.6;14470
4571;Gachnang;2004;Frauenfeld;2008;30.6;2271
4651;Gottlieben;2005;Kreuzlingen;2008;39;182
4656;Güttingen;2005;Kreuzlingen;2008;41.6;913
4486;Hauptwil-Gottshaus;2002;Bischofszell;2008;30.3;1228
4416;Hefenhofen;2001;Arbon;2008;29.6;815
4811;Herdern;2007;Steckborn;2008;43.5;650
4495;Hohentannen;2002;Bischofszell;2008;42;410
4816;Homburg;2007;Steckborn;2008;40.2;1060
4421;Horn;2001;Arbon;2008;29.3;1654
4590;Hüttlingen;2004;Frauenfeld;2008;42.6;596
4821;Hüttwilen;2007;Steckborn;2008;43.7;1011
4666;Kemmental;2005;Kreuzlingen;2008;30.4;1513
4426;Kesswil;2001;Arbon;2008;41.6;632
4501;Kradolf-Schänenberg;2002;Bischofszell;2008;33.8;2065
4671;Kreuzlingen;2005;Kreuzlingen;2008;29.8;8255
4681;Langrickenbach;2005;Kreuzlingen;2008;36.7;753
4683;Lengwil;2005;Kreuzlingen;2008;31.7;843
4741;Lommis;2006;Münchwilen;2008;32.2;708
4826;Mammern;2007;Steckborn;2008;46.3;341
4941;Märstetten;2008;Weinfelden;2008;43.2;1605
4591;Matzingen;2004;Frauenfeld;2008;29.1;1510
4831;Müllheim;2007;Steckborn;2008;31.5;1659
4746;Münchwilen;2006;Münchwilen;2008;27.5;2893
4691;Münsterlingen;2005;Kreuzlingen;2008;34.9;1424
4601;Neunforn;2004;Frauenfeld;2008;31.8;873
4841;Pfyn;2007;Steckborn;2008;33.7;1309
4846;Raperswilen;2007;Steckborn;2008;35.2;290
4751;Rickenbach;2006;Münchwilen;2008;26.6;1442
4431;Roggwil;2001;Arbon;2008;32;1919
4436;Romanshorn;2001;Arbon;2008;33.4;5658
4851;Salenstein;2007;Steckborn;2008;36.6;804
4441;Salmsach;2001;Arbon;2008;27.2;806
4546;Schlatt;2003;Diessenhofen;2008;37.7;1087
4756;Schönholzerswilen;2006;Münchwilen;2008;45.1;526
4761;Sirnach;2006;Münchwilen;2008;31.1;4182
4446;Sommeri;2001;Arbon;2008;44.3;368
4864;Steckborn;2007;Steckborn;2008;39.2;2134
4606;Stettfurt;2004;Frauenfeld;2008;31;775
4506;Sulgen;2002;Bischofszell;2008;36.4;2116
4696;Tägerwilen;2005;Kreuzlingen;2008;30.2;2043
4611;Thundorf;2004;Frauenfeld;2008;35.1;906
4776;Tobel-Tägerschen;2006;Münchwilen;2008;37.6;914
4616;Uesslingen-Buch;2004;Frauenfeld;2008;42;769
4451;Uttwil;2001;Arbon;2008;34.5;1086
4871;Wagenhausen;2007;Steckborn;2008;32.8;1086
4701;Wäldi;2005;Kreuzlingen;2008;35.4;666
4781;Wängi;2006;Münchwilen;2008;33.6;2712
4621;Warth-Weiningen;2004;Frauenfeld;2008;41.8;898
4946;Weinfelden;2008;Weinfelden;2008;38.4;6595
4951;Wigoltingen;2008;Weinfelden;2008;35.5;1470
4786;Wilen;2006;Münchwilen;2008;34.2;1353
4791;Wuppenau;2006;Münchwilen;2008;40.7;730
4511;Zihlschlacht-Sitterdorf;2002;Bischofszell;2008;31;1385
4551;Aadorf;2014;Münchwilen;2012;28;5730
4711;Affeltrangen;2015;Weinfelden;2012;29.6;1606
4641;Altnau;2013;Kreuzlingen;2012;32.9;1310
4881;Amlikon-Bissegg;2015;Weinfelden;2012;34;934
4461;Amriswil;2011;Arbon;2012;26.3;7'299
4401;Arbon;2011;Arbon;2012;26.2;8'167
4536;Basadingen-Schlattingen;2012;Frauenfeld;2012;35.1;1164
4891;Berg;2015;Weinfelden;2012;31.8;2133
4801;Berlingen;2012;Frauenfeld;2012;43.9;572
4716;Bettwiesen;2014;Münchwilen;2012;24.7;700
4721;Bichelsee-Balterswil;2014;Münchwilen;2012;32.4;1865
4901;Birwinken;2015;Weinfelden;2012;32.2;922
4471;Bischofszell;2015;Weinfelden;2012;28.3;3443
4643;Bottighofen;2013;Kreuzlingen;2012;35.3;1231
4723;Braunau;2014;Münchwilen;2012;36.5;474
4911;Bürglen;2015;Weinfelden;2012;28.5;2109
4921;Bussnang;2015;Weinfelden;2012;35.6;1500
4545;Diessenhofen;2012;Frauenfeld;2012;34.7;2025
4406;Dozwil;2011;Arbon;2012;41.3;414
4411;Egnach;2011;Arbon;2012;33.9;2'958
4476;Erlen;2015;Weinfelden;2012;25.5;2018
4646;Ermatingen;2013;Kreuzlingen;2012;33.6;1762
4806;Eschenz;2012;Frauenfeld;2012;30.4;1138
4724;Eschlikon;2014;Münchwilen;2012;31;2770
4561;Felben-Wellhausen;2012;Frauenfeld;2012;26.6;1644
4726;Fischingen;2014;Münchwilen;2012;36.3;1867
4566;Frauenfeld;2012;Frauenfeld;2012;33.6;15307
4571;Gachnang;2012;Frauenfeld;2012;26.5;2327
4651;Gottlieben;2013;Kreuzlingen;2012;43.1;174
4656;Güttingen;2013;Kreuzlingen;2012;34;953
4486;Hauptwil-Gottshaus;2015;Weinfelden;2012;26.7;1275
4416;Hefenhofen;2011;Arbon;2012;28.4;843
4811;Herdern;2012;Frauenfeld;2012;39;685
4495;Hohentannen;2015;Weinfelden;2012;29;427
4816;Homburg;2012;Frauenfeld;2012;31.4;1083
4421;Horn;2011;Arbon;2012;25.5;1'750
4590;Hüttlingen;2012;Frauenfeld;2012;38.8;595
4821;Hüttwilen;2012;Frauenfeld;2012;45.5;1086
4666;Kemmental;2013;Kreuzlingen;2012;27.1;1502
4426;Kesswil;2011;Arbon;2012;43.5;650
4501;Kradolf-Schönenberg;2015;Weinfelden;2012;29.8;2141
4671;Kreuzlingen;2013;Kreuzlingen;2012;29.1;8367
4681;Langrickenbach;2013;Kreuzlingen;2012;34.6;766
4683;Lengwil;2013;Kreuzlingen;2012;30.3;887
4741;Lommis;2014;Münchwilen;2012;31.8;773
4826;Mammern;2012;Frauenfeld;2012;42;355
4941;Märstetten;2015;Weinfelden;2012;36.8;1755
4591;Matzingen;2012;Frauenfeld;2012;27.5;1595
4831;Müllheim;2012;Frauenfeld;2012;22.8;1764
4746;Münchwilen;2014;Münchwilen;2012;25.7;3086
4691;Münsterlingen;2013;Kreuzlingen;2012;30;1576
4601;Neunforn;2012;Frauenfeld;2012;31.3;732
4841;Pfyn;2012;Frauenfeld;2012;28.8;1367
4846;Raperswilen;2013;Kreuzlingen;2012;49.5;295
4751;Rickenbach b. Wil;2014;Münchwilen;2012;22.8;1510
4431;Roggwil;2011;Arbon;2012;28.2;1'989
4436;Romanshorn;2011;Arbon;2012;35.7;6'050
4851;Salenstein;2013;Kreuzlingen;2012;37.4;775
4441;Salmsach;2011;Arbon;2012;26.8;818
4546;Schlatt;2012;Frauenfeld;2012;33.1;1117
4756;Schönholzerswilen;2015;Weinfelden;2012;36.4;547
4761;Sirnach;2014;Münchwilen;2012;26.7;4582
4446;Sommeri;2011;Arbon;2012;33.7;377
4864;Steckborn;2012;Frauenfeld;2012;32;2244
4606;Stettfurt;2012;Frauenfeld;2012;31.9;772
4506;Sulgen;2015;Weinfelden;2012;31.2;2209
4696;Tägerwilen;2013;Kreuzlingen;2012;24;2131
4611;Thundorf;2012;Frauenfeld;2012;32.1;955
4776;Tobel-Tägerschen;2014;Münchwilen;2012;28.5;945
4616;Uesslingen-Buch;2012;Frauenfeld;2012;36.9;797
4451;Uttwil;2011;Arbon;2012;36.4;1'177
4871;Wagenhausen;2012;Frauenfeld;2012;30.9;1078
4701;Wäldi;2013;Kreuzlingen;2012;32;710
4781;Wängi;2014;Münchwilen;2012;31.1;2880
4621;Warth-Weiningen;2012;Frauenfeld;2012;37.2;914
4946;Weinfelden;2015;Weinfelden;2012;34.8;7062
4951;Wigoltingen;2015;Weinfelden;2012;27.9;1558
4786;Wilen;2014;Münchwilen;2012;24.5;1432
4791;Wuppenau;2015;Weinfelden;2012;37.5;773
4511;Zihlschlacht-Sitterdorf;2015;Weinfelden;2012;28.9;1441
4551;Aadorf;2014;Münchwilen;2016;27.9;6046
4711;Affeltrangen;2015;Weinfelden;2016;31;1626
4641;Altnau;2013;Kreuzlingen;2016;36.2;1383
4881;Amlikon-Bissegg;2015;Weinfelden;2016;32.7;968
4461;Amriswil;2011;Arbon;2016;25.8;7503
4401;Arbon;2011;Arbon;2016;26.6;8155
4536;Basadingen-Schlattingen;2012;Frauenfeld;2016;29.8;1235
4891;Berg;2015;Weinfelden;2016;32.4;2218
4801;Berlingen;2012;Frauenfeld;2016;43.2;577
4716;Bettwiesen;2014;Münchwilen;2016;22.1;739
4721;Bichelsee-Balterswil;2014;Münchwilen;2016;31.8;1957
4901;Birwinken;2015;Weinfelden;2016;32.9;947
4471;Bischofszell;2015;Weinfelden;2016;28.5;3542
4643;Bottighofen;2013;Kreuzlingen;2016;37;1252
4723;Braunau;2014;Münchwilen;2016;34.4;521
4911;Bürglen;2015;Weinfelden;2016;27.1;2264
4921;Bussnang;2015;Weinfelden;2016;35.7;1548
4545;Diessenhofen;2012;Frauenfeld;2016;29.9;2018
4406;Dozwil;2011;Arbon;2016;42.7;447
4411;Egnach;2011;Arbon;2016;36.4;3157
4476;Erlen;2015;Weinfelden;2016;26;2131
4646;Ermatingen;2013;Kreuzlingen;2016;35.8;1910
4806;Eschenz;2012;Frauenfeld;2016;29.8;1157
4724;Eschlikon;2014;Münchwilen;2016;31.6;2987
4561;Felben-Wellhausen;2012;Frauenfeld;2016;23.4;1738
4726;Fischingen;2014;Münchwilen;2016;34.5;1954
4566;Frauenfeld;2012;Frauenfeld;2016;33.1;15786
4571;Gachnang;2012;Frauenfeld;2016;26.1;2678
4651;Gottlieben;2013;Kreuzlingen;2016;50;162
4656;Güttingen;2013;Kreuzlingen;2016;37.3;1006
4486;Hauptwil-Gottshaus;2015;Weinfelden;2016;24.1;1347
4416;Hefenhofen;2011;Arbon;2016;24.3;870
4811;Herdern;2012;Frauenfeld;2016;33.4;746
4495;Hohentannen;2015;Weinfelden;2016;25.3;439
4816;Homburg;2012;Frauenfeld;2016;29.3;1121
4421;Horn;2011;Arbon;2016;27.3;1804
4590;Hüttlingen;2012;Frauenfeld;2016;29.5;599
4821;Hüttwilen;2012;Frauenfeld;2016;36.1;1171
4666;Kemmental;2013;Kreuzlingen;2016;27.3;1592
4426;Kesswil;2011;Arbon;2016;38.1;648
4501;Kradolf-Schönenberg;2015;Weinfelden;2016;27.2;2205
4671;Kreuzlingen;2013;Kreuzlingen;2016;32.3;8451
4681;Langrickenbach;2013;Kreuzlingen;2016;33.7;835
4683;Lengwil;2013;Kreuzlingen;2016;32.7;981
4741;Lommis;2014;Münchwilen;2016;29.3;836
4826;Mammern;2012;Frauenfeld;2016;35.2;383
4941;Märstetten;2015;Weinfelden;2016;36.1;1891
4591;Matzingen;2012;Frauenfeld;2016;34.4;1613
4831;Müllheim;2012;Frauenfeld;2016;23.3;1950
4746;Münchwilen;2014;Münchwilen;2016;26;3302
4691;Münsterlingen;2013;Kreuzlingen;2016;33.7;1636
4601;Neunforn;2012;Frauenfeld;2016;27.4;758
4841;Pfyn;2012;Frauenfeld;2016;26.4;1333
4846;Raperswilen;2013;Kreuzlingen;2016;41.7;290
4751;Rickenbach b. Wil;2014;Münchwilen;2016;21;1531
4431;Roggwil;2011;Arbon;2016;27;2040
4436;Romanshorn;2011;Arbon;2016;32.1;6262
4851;Salenstein;2013;Kreuzlingen;2016;41.8;802
4441;Salmsach;2011;Arbon;2016;31.6;827
4546;Schlatt;2012;Frauenfeld;2016;25.6;1182
4756;Schönholzerswilen;2015;Weinfelden;2016;40;565
4761;Sirnach;2014;Münchwilen;2016;26.7;4825
4446;Sommeri;2011;Arbon;2016;34.6;382
4864;Steckborn;2012;Frauenfeld;2016;30.8;2311
4606;Stettfurt;2012;Frauenfeld;2016;35.6;829
4506;Sulgen;2015;Weinfelden;2016;30.2;2305
4696;Tägerwilen;2013;Kreuzlingen;2016;27.9;2276
4611;Thundorf;2012;Frauenfeld;2016;31.3;1045
4776;Tobel-Tägerschen;2014;Münchwilen;2016;24.6;1042
4616;Uesslingen-Buch;2012;Frauenfeld;2016;35.3;816
4451;Uttwil;2011;Arbon;2016;35.2;1216
4871;Wagenhausen;2012;Frauenfeld;2016;30.6;1067
4701;Wäldi;2013;Kreuzlingen;2016;30.7;710
4781;Wängi;2014;Münchwilen;2016;28.7;3113
4621;Warth-Weiningen;2012;Frauenfeld;2016;31.9;918
4946;Weinfelden;2015;Weinfelden;2016;33.4;7365
4951;Wigoltingen;2015;Weinfelden;2016;30.1;1584
4786;Wilen;2014;Münchwilen;2016;22.6;1640
4791;Wuppenau;2015;Weinfelden;2016;35.8;786
4511;Zihlschlacht-Sitterdorf;2015;Weinfelden;2016;30.1;1543
